96,164,320,167,320,201,95,198,0.999703
96,124,528,132,528,168,95,160,0.9996923
272,62,385,66,384,101,270,97,0.9996921
96,218,512,229,512,264,95,253,0.999673
96,596,481,613,480,644,94,627,0.99967194
96,519,465,535,464,568,94,552,0.9996531
96,260,496,269,496,306,95,296,0.9996407
95,17,384,16,384,50,96,52,0.99964
96,559,465,572,464,605,94,591,0.9996376
112,346,512,356,512,390,111,380,0.99963725
96,755,257,764,256,793,94,784,0.99963
96,634,465,649,464,681,94,665,0.99962246
432,64,513,68,512,102,430,98,0.9996215
432,15,513,18,512,52,430,50,0.99962115
96,466,320,473,320,506,95,499,0.99961746
96,721,465,739,464,768,94,750,0.99961346
96,427,481,440,480,472,94,459,0.9996118
94,60,144,58,145,92,96,93,0.9996043
96,387,496,396,496,429,95,420,0.99960405
112,306,480,313,480,346,111,339,0.99960285
96,670,241,678,240,708,94,701,0.9995963
