96,166,320,166,320,201,96,201,0.999703
96,127,528,127,528,168,96,168,0.9996923
272,65,384,65,384,100,272,100,0.9996921
96,218,512,218,512,261,96,261,0.999673
96,597,480,597,480,642,96,642,0.99967194
96,521,464,521,464,567,96,567,0.9996531
96,262,496,262,496,305,96,305,0.9996407
96,17,384,17,384,50,96,50,0.99964
96,560,464,560,464,603,96,603,0.9996376
112,346,512,346,512,387,112,387,0.99963725
96,757,256,757,256,792,96,792,0.99963
96,636,464,636,464,679,96,679,0.99962246
432,65,512,65,512,100,432,100,0.9996215
432,16,512,16,512,50,432,50,0.99962115
96,468,320,468,320,504,96,504,0.99961746
96,723,464,723,464,767,96,767,0.99961346
96,430,480,430,480,471,96,471,0.9996118
96,60,144,60,144,92,96,92,0.9996043
96,389,496,389,496,429,96,429,0.99960405
112,308,480,308,480,346,112,346,0.99960285
96,673,240,673,240,708,96,708,0.9995963
